name, time, value
rand-3-10-20-5.1.ssat, 0.000233889, 0.748158
rand-3-10-20-5.2.ssat, 0.000231028, 0.543753
rand-3-10-20-5.3.ssat, 0.00022006, 0.304383
rand-3-10-20-5.4.ssat, 0.000247002, 0.23937
rand-3-10-20-5.5.ssat, 0.000247955, 0.205139
rand-3-10-30-5.10.ssat, 0.000244856, 0.0744398
rand-3-10-30-5.6.ssat, 0.000269175, 0.15753
rand-3-10-30-5.7.ssat, 0.000250101, 0.169337
rand-3-10-30-5.8.ssat, 0.000238895, 0.0342314
rand-3-10-30-5.9.ssat, 0.000267982, 0.058286
rand-3-10-40-5.11.ssat, 0.000252962, 0.0543356
rand-3-10-40-5.12.ssat, 0.000226021, 0.086247
rand-3-10-40-5.13.ssat, 0.000215054, 0
rand-3-10-40-5.14.ssat, 0.000247955, 0.0201042
rand-3-10-40-5.15.ssat, 0.000235081, 0.250047
rand-3-10-50-5.16.ssat, 0.000247955, 0
rand-3-10-50-5.17.ssat, 0.00028801, 0.058286
rand-3-10-50-5.18.ssat, 0.000234842, 0
rand-3-10-50-5.19.ssat, 0.000237942, 0
rand-3-10-50-5.20.ssat, 0.000249147, 0.0925174
rand-3-20-100-10.36.ssat, 0.000355005, 0
rand-3-20-100-10.37.ssat, 0.000361204, 0
rand-3-20-100-10.38.ssat, 0.000323057, 0
rand-3-20-100-10.39.ssat, 0.000319958, 0
rand-3-20-100-10.40.ssat, 0.000342131, 0
rand-3-20-40-10.21.ssat, 0.000427961, 0.0897366
rand-3-20-40-10.22.ssat, 0.000633955, 0.07155
rand-3-20-40-10.23.ssat, 0.000904083, 0.0693098
rand-3-20-40-10.24.ssat, 0.000762939, 0.0996924
rand-3-20-40-10.25.ssat, 0.000516891, 0.140124
rand-3-20-60-10.26.ssat, 0.000441074, 0.00819399
rand-3-20-60-10.27.ssat, 0.000360966, 0.0117265
rand-3-20-60-10.28.ssat, 0.000491858, 0.0130063
rand-3-20-60-10.29.ssat, 0.000503063, 0.0354131
rand-3-20-60-10.30.ssat, 0.000470877, 0.0197364
rand-3-20-80-10.31.ssat, 0.000351906, 0
rand-3-20-80-10.32.ssat, 0.000479937, 0.0038552
rand-3-20-80-10.33.ssat, 0.00037694, 0.00185999
rand-3-20-80-10.34.ssat, 0.000412941, 0.0037706
rand-3-20-80-10.35.ssat, 0.000372887, 0.00165989
rand-3-30-120-15.51.ssat, 0.000552893, 0.000108411
rand-3-30-120-15.52.ssat, 0.000546932, 0
rand-3-30-120-15.53.ssat, 0.000665903, 0.000391854
rand-3-30-120-15.54.ssat, 0.000579119, 0.0010849
rand-3-30-120-15.55.ssat, 0.000524044, 6.8299e-05
rand-3-30-150-15.56.ssat, 0.000544071, 0
rand-3-30-150-15.57.ssat, 0.000555038, 2.04728e-05
rand-3-30-150-15.58.ssat, 0.000573874, 0
rand-3-30-150-15.59.ssat, 0.00057292, 0
rand-3-30-150-15.60.ssat, 0.000541925, 0
rand-3-30-60-15.41.ssat, 0.00149393, 0.054078
rand-3-30-60-15.42.ssat, 0.00248504, 0.0218138
rand-3-30-60-15.43.ssat, 0.00290203, 0.0348268
rand-3-30-60-15.44.ssat, 0.00827098, 0.00819162
rand-3-30-60-15.45.ssat, 0.00189614, 0.0228371
rand-3-30-90-15.46.ssat, 0.00109196, 0.00559158
rand-3-30-90-15.47.ssat, 0.00139594, 0.0108502
rand-3-30-90-15.48.ssat, 0.00254607, 0.00800548
rand-3-30-90-15.49.ssat, 0.001652, 0.00533852
rand-3-30-90-15.50.ssat, 0.00186181, 0.00535017
rand-3-40-120-20.66.ssat, 0.0177081, 0.000173218
rand-3-40-120-20.67.ssat, 0.00448799, 0.000569047
rand-3-40-120-20.68.ssat, 0.012398, 0.00112409
rand-3-40-120-20.69.ssat, 0.0094049, 0.000610957
rand-3-40-120-20.70.ssat, 0.00732994, 0.00016736
rand-3-40-160-20.71.ssat, 0.00122094, 1.83196e-05
rand-3-40-160-20.72.ssat, 0.00222898, 3.29984e-05
rand-3-40-160-20.73.ssat, 0.00245285, 7.17585e-05
rand-3-40-160-20.74.ssat, 0.00177622, 1.938e-05
rand-3-40-160-20.75.ssat, 0.001858, 3.71107e-06
rand-3-40-200-20.76.ssat, 0.000988007, 0
rand-3-40-200-20.77.ssat, 0.000836134, 0
rand-3-40-200-20.78.ssat, 0.000735044, 0
rand-3-40-200-20.79.ssat, 0.000746965, 0
rand-3-40-200-20.80.ssat, 0.000701904, 0
rand-3-40-80-20.61.ssat, 0.024313, 0.0163314
rand-3-40-80-20.62.ssat, 0.0172861, 0.0295376
rand-3-40-80-20.63.ssat, 0.00584602, 0.0135034
rand-3-40-80-20.64.ssat, 0.023123, 0.00830338
rand-3-40-80-20.65.ssat, 0.020113, 0.0108066
rand-3-50-100-25.81.ssat, 0.34946, 0.00554249
rand-3-50-100-25.82.ssat, 0.306112, 0.00337461
rand-3-50-100-25.83.ssat, 0.30945, 0.00567206
rand-3-50-100-25.84.ssat, 0.116443, 0.00365708
rand-3-50-100-25.85.ssat, 0.120178, 0.00498154
rand-3-50-150-25.86.ssat, 0.01894, 0.000272439
rand-3-50-150-25.87.ssat, 0.0728881, 8.54534e-05
rand-3-50-150-25.88.ssat, 0.013917, 4.62259e-05
rand-3-50-150-25.89.ssat, 0.0662761, 0.000120587
rand-3-50-150-25.90.ssat, 0.048434, 0.000137197
rand-3-50-200-25.91.ssat, 0.00203705, 8.87625e-09
rand-3-50-200-25.92.ssat, 0.00315094, 3.13718e-06
rand-3-50-200-25.93.ssat, 0.003968, 4.73716e-07
rand-3-50-200-25.94.ssat, 0.00325918, 1.75236e-07
rand-3-50-200-25.95.ssat, 0.00384116, 4.97239e-08
rand-3-50-250-25.100.ssat, 0.00114298, 0
rand-3-50-250-25.96.ssat, 0.00225306, 0
rand-3-50-250-25.97.ssat, 0.000862122, 0
rand-3-50-250-25.98.ssat, 0.00112796, 0
rand-3-50-250-25.99.ssat, 0.00119877, 0
rand-4-10-30-5.1.ssat, 0.000432014, 0.446492
rand-4-10-30-5.2.ssat, 0.000370979, 0.379953
rand-4-10-30-5.3.ssat, 0.000346899, 0.598089
rand-4-10-30-5.4.ssat, 0.000400066, 0.483147
rand-4-10-30-5.5.ssat, 0.000406027, 0.342039
rand-4-10-40-5.10.ssat, 0.000404119, 0.275896
rand-4-10-40-5.6.ssat, 0.000484943, 0.259475
rand-4-10-40-5.7.ssat, 0.000439882, 0.417004
rand-4-10-40-5.8.ssat, 0.000374079, 0.197506
rand-4-10-40-5.9.ssat, 0.000413179, 0.521329
rand-4-10-50-5.11.ssat, 0.000416994, 0.146853
rand-4-10-50-5.12.ssat, 0.000377893, 0.166957
rand-4-10-50-5.13.ssat, 0.000407934, 0.159324
rand-4-10-50-5.14.ssat, 0.000446081, 0.308333
rand-4-10-50-5.15.ssat, 0.0003829, 0.357529
rand-4-10-60-5.16.ssat, 0.000432968, 0.0925174
rand-4-10-60-5.17.ssat, 0.000365973, 0.15753
rand-4-10-60-5.18.ssat, 0.000430822, 0.146853
rand-4-10-60-5.19.ssat, 0.000390768, 0.15753
rand-4-10-60-5.20.ssat, 0.000442982, 0.191761
rand-4-20-100-10.31.ssat, 0.0047369, 0.0565828
rand-4-20-100-10.32.ssat, 0.00285316, 0.0808184
rand-4-20-100-10.33.ssat, 0.00466514, 0.0661279
rand-4-20-100-10.34.ssat, 0.00581622, 0.0656905
rand-4-20-100-10.35.ssat, 0.00296998, 0.064933
rand-4-20-120-10.36.ssat, 0.00235796, 0.0171804
rand-4-20-120-10.37.ssat, 0.00264215, 0.0167104
rand-4-20-120-10.38.ssat, 0.0029459, 0.0234816
rand-4-20-120-10.39.ssat, 0.00297499, 0.0269583
rand-4-20-120-10.40.ssat, 0.00315213, 0.0133331
rand-4-20-60-10.21.ssat, 0.00294185, 0.280898
rand-4-20-60-10.22.ssat, 0.00602198, 0.306312
rand-4-20-60-10.23.ssat, 0.00551701, 0.265416
rand-4-20-60-10.24.ssat, 0.00501394, 0.438973
rand-4-20-60-10.25.ssat, 0.0048449, 0.311727
rand-4-20-80-10.26.ssat, 0.00499392, 0.0959146
rand-4-20-80-10.27.ssat, 0.00567198, 0.068585
rand-4-20-80-10.28.ssat, 0.00666118, 0.142294
rand-4-20-80-10.29.ssat, 0.00579715, 0.155787
rand-4-20-80-10.30.ssat, 0.00444794, 0.178564
rand-4-30-120-15.46.ssat, 0.115322, 0.0245403
rand-4-30-120-15.47.ssat, 0.099036, 0.0372165
rand-4-30-120-15.48.ssat, 0.102757, 0.0329644
rand-4-30-120-15.49.ssat, 0.110571, 0.0308784
rand-4-30-120-15.50.ssat, 0.144503, 0.0709051
rand-4-30-150-15.51.ssat, 0.105565, 0.0115236
rand-4-30-150-15.52.ssat, 0.0332739, 0.00614341
rand-4-30-150-15.53.ssat, 0.146799, 0.0110896
rand-4-30-150-15.54.ssat, 0.110684, 0.0113054
rand-4-30-150-15.55.ssat, 0.108927, 0.0105933
rand-4-30-180-15.56.ssat, 0.0476968, 0.0133501
rand-4-30-180-15.57.ssat, 0.0210249, 0.0020529
rand-4-30-180-15.58.ssat, 0.0544012, 0.00678046
rand-4-30-180-15.59.ssat, 0.0385029, 0.00509477
rand-4-30-180-15.60.ssat, 0.020519, 0.00151748
rand-4-30-90-15.41.ssat, 0.250389, 0.0688011
rand-4-30-90-15.42.ssat, 0.111092, 0.0903275
rand-4-30-90-15.43.ssat, 0.359704, 0.129689
rand-4-30-90-15.44.ssat, 0.136268, 0.056824
rand-4-30-90-15.45.ssat, 0.341299, 0.154915
rand-4-40-120-20.61.ssat, 7.48023, 0.12808
rand-4-40-120-20.62.ssat, 3.54738, 0.0735223
rand-4-40-120-20.63.ssat, 11.4151, 0.136475
rand-4-40-120-20.64.ssat, 6.26223, 0.0596638
rand-4-40-120-20.65.ssat, 6.08705, 0.0553975
rand-4-40-160-20.66.ssat, 6.9759, 0.0189711
rand-4-40-160-20.67.ssat, 6.79218, 0.0401249
rand-4-40-160-20.68.ssat, 3.17526, 0.0257058
rand-4-40-160-20.69.ssat, 3.86552, 0.00442199
rand-4-40-160-20.70.ssat, 2.83051, 0.0162144
rand-4-40-200-20.71.ssat, 1.43255, 0.00973942
rand-4-40-200-20.72.ssat, 1.20698, 0.00175806
rand-4-40-200-20.73.ssat, 2.12187, 0.00456338
rand-4-40-200-20.74.ssat, 2.3526, 0.00345583
rand-4-40-200-20.75.ssat, 0.589508, 0.00492377
rand-4-40-240-20.76.ssat, 0.204161, 0.000491401
rand-4-40-240-20.77.ssat, 0.577182, 0.000665164
rand-4-40-240-20.78.ssat, 0.412309, 0.00177854
rand-4-40-240-20.79.ssat, 0.611466, 0.00164546
rand-4-40-240-20.80.ssat, 0.131944, 0.000692463
rand-4-50-150-25.81.ssat, 189.725, 0.0276624
rand-4-50-150-25.82.ssat, 238.999, 0.0186508
rand-4-50-150-25.83.ssat, 192.413, 0.0415111
rand-4-50-150-25.84.ssat, 213.584, 0.0709602
rand-4-50-150-25.85.ssat, 154.067, 0.0133733
rand-4-50-200-25.86.ssat, 110.285, 0.00420101
rand-4-50-200-25.87.ssat, 154.724, 0.00301395
rand-4-50-200-25.88.ssat, 72.364, 0.00534876
rand-4-50-200-25.89.ssat, 214.951, 0.0113687
rand-4-50-200-25.90.ssat, 142.197, 0.00357818
rand-4-50-250-25.91.ssat, 30.9566, 0.000310396
rand-4-50-250-25.92.ssat, 28.7481, 0.00100343
rand-4-50-250-25.93.ssat, 20.7127, 0.000690652
rand-4-50-250-25.94.ssat, 22.594, 0.000327917
rand-4-50-250-25.95.ssat, 36.0296, 0.000354646
rand-4-50-300-25.100.ssat, 6.17879, 0.000329773
rand-4-50-300-25.96.ssat, 4.16682, 0.000150356
rand-4-50-300-25.97.ssat, 5.72383, 7.87143e-05
rand-4-50-300-25.98.ssat, 4.37107, 2.28213e-05
rand-4-50-300-25.99.ssat, 3.79548, 2.82146e-05
rand-5-10-40-5.1.ssat, 0.000649929, 0.595769
rand-5-10-40-5.2.ssat, 0.000601053, 0.595769
rand-5-10-40-5.3.ssat, 0.000551939, 0.696143
rand-5-10-40-5.4.ssat, 0.000496864, 0.63
rand-5-10-40-5.5.ssat, 0.000475883, 0.820572
rand-5-10-50-5.10.ssat, 0.00069499, 0.53612
rand-5-10-50-5.6.ssat, 0.000612974, 0.430606
rand-5-10-50-5.7.ssat, 0.000643015, 0.62373
rand-5-10-50-5.8.ssat, 0.000603199, 0.511316
rand-5-10-50-5.9.ssat, 0.000654936, 0.537483
rand-5-10-60-5.11.ssat, 0.00057292, 0.411864
rand-5-10-60-5.12.ssat, 0.000669956, 0.517378
rand-5-10-60-5.13.ssat, 0.000773907, 0.406387
rand-5-10-60-5.14.ssat, 0.000732899, 0.336458
rand-5-10-60-5.15.ssat, 0.000617981, 0.495618
rand-5-10-70-5.16.ssat, 0.000780106, 0.469313
rand-5-10-70-5.17.ssat, 0.000708103, 0.442939
rand-5-10-70-5.18.ssat, 0.000767946, 0.192425
rand-5-10-70-5.19.ssat, 0.00070405, 0.336294
rand-5-10-70-5.20.ssat, 0.000734806, 0.305513
rand-5-20-100-10.26.ssat, 0.0229571, 0.415806
rand-5-20-100-10.27.ssat, 0.0207591, 0.269525
rand-5-20-100-10.28.ssat, 0.0385559, 0.264318
rand-5-20-100-10.29.ssat, 0.0285339, 0.325582
rand-5-20-100-10.30.ssat, 0.035398, 0.29688
rand-5-20-120-10.31.ssat, 0.029134, 0.157354
rand-5-20-120-10.32.ssat, 0.027318, 0.14886
rand-5-20-120-10.33.ssat, 0.031064, 0.134209
rand-5-20-120-10.34.ssat, 0.0343442, 0.18674
rand-5-20-120-10.35.ssat, 0.03001, 0.297585
rand-5-20-140-10.36.ssat, 0.0310061, 0.162504
rand-5-20-140-10.37.ssat, 0.029398, 0.174199
rand-5-20-140-10.38.ssat, 0.02665, 0.174582
rand-5-20-140-10.39.ssat, 0.0301661, 0.146388
rand-5-20-140-10.40.ssat, 0.0316761, 0.140269
rand-5-20-80-10.21.ssat, 0.0309119, 0.500281
rand-5-20-80-10.22.ssat, 0.0350749, 0.417819
rand-5-20-80-10.23.ssat, 0.017555, 0.570027
rand-5-20-80-10.24.ssat, 0.030726, 0.57808
rand-5-20-80-10.25.ssat, 0.0309379, 0.481406
rand-5-30-120-15.41.ssat, 2.90668, 0.20037
rand-5-30-120-15.42.ssat, 1.83667, 0.248925
rand-5-30-120-15.43.ssat, 1.33291, 0.415931
rand-5-30-120-15.44.ssat, 2.63869, 0.232235
rand-5-30-120-15.45.ssat, 1.6239, 0.322156
rand-5-30-150-15.46.ssat, 2.24178, 0.181804
rand-5-30-150-15.47.ssat, 2.15545, 0.199035
rand-5-30-150-15.48.ssat, 2.8574, 0.0899618
rand-5-30-150-15.49.ssat, 2.12877, 0.37643
rand-5-30-150-15.50.ssat, 2.22305, 0.171036
rand-5-30-180-15.51.ssat, 2.12236, 0.0925048
rand-5-30-180-15.52.ssat, 2.7103, 0.098315
rand-5-30-180-15.53.ssat, 1.76365, 0.106061
rand-5-30-180-15.54.ssat, 2.30425, 0.146708
rand-5-30-180-15.55.ssat, 2.83916, 0.0937355
rand-5-30-210-15.56.ssat, 1.82518, 0.0597435
rand-5-30-210-15.57.ssat, 1.10657, 0.0580822
rand-5-30-210-15.58.ssat, 2.24451, 0.0880104
rand-5-30-210-15.59.ssat, 2.49415, 0.0699115
rand-5-30-210-15.60.ssat, 1.52696, 0.0519147
rand-5-40-160-20.61.ssat, 169.563, 0.285952
rand-5-40-160-20.62.ssat, 168.136, 0.21197
rand-5-40-160-20.63.ssat, 153.657, 0.166374
rand-5-40-160-20.64.ssat, 193.673, 0.152638
rand-5-40-160-20.65.ssat, 158.168, 0.218625
rand-5-40-200-20.66.ssat, 173.09, 0.117814
rand-5-40-200-20.67.ssat, 192.667, 0.187414
rand-5-40-200-20.68.ssat, 248.138, 0.0896309
rand-5-40-200-20.69.ssat, 363.02, 0.051352
rand-5-40-200-20.70.ssat, 177.359, 0.0951468
rand-5-40-240-20.71.ssat, 309.095, 0.0692506
rand-5-40-240-20.72.ssat, 217.338, 0.0447448
rand-5-40-240-20.73.ssat, 221.624, 0.0352711
rand-5-40-240-20.74.ssat, 260.813, 0.0271133
rand-5-40-240-20.75.ssat, 244.46, 0.0266138
rand-5-40-280-20.76.ssat, 96.692, 0.0150666
rand-5-40-280-20.77.ssat, 149.593, 0.0269625
rand-5-40-280-20.78.ssat, 163.372, 0.0168198
rand-5-40-280-20.79.ssat, 120.635, 0.0126442
rand-5-40-280-20.80.ssat, 120.307, 0.0271667
rand-5-50-200-25.81.ssat, -, -
rand-5-50-200-25.82.ssat, -, -
rand-5-50-200-25.83.ssat, -, -
rand-5-50-200-25.84.ssat, -, -
rand-5-50-200-25.85.ssat, -, -
rand-5-50-250-25.86.ssat, -, -
rand-5-50-250-25.87.ssat, -, -
rand-5-50-250-25.88.ssat, -, -
rand-5-50-250-25.89.ssat, -, -
rand-5-50-250-25.90.ssat, -, -
rand-5-50-300-25.91.ssat, -, -
rand-5-50-300-25.92.ssat, -, -
rand-5-50-300-25.93.ssat, -, -
rand-5-50-300-25.94.ssat, -, -
rand-5-50-300-25.95.ssat, -, -
rand-5-50-350-25.100.ssat, -, -
rand-5-50-350-25.96.ssat, -, -
rand-5-50-350-25.97.ssat, -, -
rand-5-50-350-25.98.ssat, -, -
rand-5-50-350-25.99.ssat, -, -
rand-6-10-50-5.1.ssat, 0.000858068, 0.69246
rand-6-10-50-5.2.ssat, 0.000886917, 0.874907
rand-6-10-50-5.3.ssat, 0.000736952, 0.789324
rand-6-10-50-5.4.ssat, 0.000735044, 1
rand-6-10-50-5.5.ssat, 0.00113916, 0.888741
rand-6-10-60-5.10.ssat, 0.000953913, 0.654055
rand-6-10-60-5.6.ssat, 0.00099802, 0.827506
rand-6-10-60-5.7.ssat, 0.000936985, 0.712564
rand-6-10-60-5.8.ssat, 0.000981092, 0.728718
rand-6-10-60-5.9.ssat, 0.000995874, 0.820572
rand-6-10-70-5.11.ssat, 0.00100112, 0.7669
rand-6-10-70-5.12.ssat, 0.00104189, 0.70795
rand-6-10-70-5.13.ssat, 0.00130391, 0.754429
rand-6-10-70-5.14.ssat, 0.00112104, 0.775197
rand-6-10-70-5.15.ssat, 0.00112605, 0.734989
rand-6-10-80-5.16.ssat, 0.00104594, 0.666551
